ANO;Municipio;Regiao;V1;V2;V3;V4;V5;V6;V7
2014;Nova Laranjeiras;41005_5ª RS Guarapuava;155.1;3;3;0;9;1;2
2015;Nova Laranjeiras;41005_5ª RS Guarapuava;156.3;1;1;0;15;6;1
2016;Nova Laranjeiras;41005_5ª RS Guarapuava;137.4;1;1;2;8;4;0
2017;Nova Laranjeiras;41005_5ª RS Guarapuava;135.7;1;0;0;19;9;0
2013;Palmital;41005_5ª RS Guarapuava;71.5;3;2;2;15;1;1
2014;Palmital;41005_5ª RS Guarapuava;80.7;5;3;0;19;2;2
2015;Palmital;41005_5ª RS Guarapuava;85.7;2;1;2;23;2;3
2016;Palmital;41005_5ª RS Guarapuava;90.5;5;3;0;21;2;2
2017;Palmital;41005_5ª RS Guarapuava;96.2;4;3;0;10;4;0
2013;Pinhão;41005_5ª RS Guarapuava;411.7;0;0;3;24;0;0
2014;Pinhão;41005_5ª RS Guarapuava;576.6;3;2;2;32;0;4
2015;Pinhão;41005_5ª RS Guarapuava;617.4;0;0;3;37;0;0
2016;Pinhão;41005_5ª RS Guarapuava;858.2;1;0;2;40;5;5
2017;Pinhão;41005_5ª RS Guarapuava;775.2;3;3;4;38;4;4
2013;Pitanga;41005_5ª RS Guarapuava;595.4;3;2;3;29;7;1
2014;Pitanga;41005_5ª RS Guarapuava;621.4;1;1;3;43;2;0
2015;Pitanga;41005_5ª RS Guarapuava;682;3;1;3;39;3;3
2016;Pitanga;41005_5ª RS Guarapuava;723.8;2;2;0;44;5;4
2017;Pitanga;41005_5ª RS Guarapuava;685;2;2;3;35;2;2
2013;Porto Barreiro;41005_5ª RS Guarapuava;110.1;0;0;0;3;0;1
2014;Porto Barreiro;41005_5ª RS Guarapuava;137.3;1;1;3;4;0;0
2015;Porto Barreiro;41005_5ª RS Guarapuava;117.5;3;2;0;4;0;1
2016;Porto Barreiro;41005_5ª RS Guarapuava;119.8;2;2;0;3;1;0
2017;Porto Barreiro;41005_5ª RS Guarapuava;112.1;3;0;0;10;0;1
2013;Prudentópolis;41005_5ª RS Guarapuava;627.8;10;8;4;85;6;7
2014;Prudentópolis;41005_5ª RS Guarapuava;551.1;13;12;1;73;18;4
2015;Prudentópolis;41005_5ª RS Guarapuava;485;10;7;3;85;4;5
2016;Prudentópolis;41005_5ª RS Guarapuava;579.9;1;0;6;82;8;3
2017;Prudentópolis;41005_5ª RS Guarapuava;689;1;0;4;92;14;7
2013;Reserva do Iguaçu;41005_5ª RS Guarapuava;148.3;1;1;0;7;0;0
2014;Reserva do Iguaçu;41005_5ª RS Guarapuava;211.2;1;1;2;9;0;0
2015;Reserva do Iguaçu;41005_5ª RS Guarapuava;207;0;0;0;7;1;1
2016;Reserva do Iguaçu;41005_5ª RS Guarapuava;366.9;2;2;1;6;0;0
2017;Reserva do Iguaçu;41005_5ª RS Guarapuava;332.6;0;0;0;8;2;0
2013;Rio Bonito do Iguaçu;41005_5ª RS Guarapuava;159.6;3;3;2;12;1;2
2014;Rio Bonito do Iguaçu;41005_5ª RS Guarapuava;172.1;4;4;0;15;1;1
2015;Rio Bonito do Iguaçu;41005_5ª RS Guarapuava;239.8;2;1;2;13;0;1
2016;Rio Bonito do Iguaçu;41005_5ª RS Guarapuava;230.9;1;0;0;15;0;0
2017;Rio Bonito do Iguaçu;41005_5ª RS Guarapuava;217.5;4;2;1;16;3;0
2013;Turvo;41005_5ª RS Guarapuava;140.1;0;0;0;14;0;0
2014;Turvo;41005_5ª RS Guarapuava;182.8;1;0;0;17;0;0
2015;Turvo;41005_5ª RS Guarapuava;155.1;1;1;1;19;0;0
2016;Turvo;41005_5ª RS Guarapuava;190.4;1;1;0;21;3;2
2017;Turvo;41005_5ª RS Guarapuava;165.3;0;0;2;14;2;1
2013;Virmond;41005_5ª RS Guarapuava;620.1;0;0;0;6;1;0
2014;Virmond;41005_5ª RS Guarapuava;855.1;0;0;0;3;0;0
2015;Virmond;41005_5ª RS Guarapuava;392.6;0;0;0;8;0;1
2016;Virmond;41005_5ª RS Guarapuava;109.3;0;0;0;4;1;1
2017;Virmond;41005_5ª RS Guarapuava;104.7;1;1;0;1;0;1
2013;Antônio Olinto;41006_6ª RS União da Vitória;153.5;13;11;1;12;0;0
2014;Antônio Olinto;41006_6ª RS União da Vitória;138.7;0;0;0;14;3;0
2015;Antônio Olinto;41006_6ª RS União da Vitória;136.7;8;5;1;16;5;1
2016;Antônio Olinto;41006_6ª RS União da Vitória;201.3;10;7;1;12;4;0
2017;Antônio Olinto;41006_6ª RS União da Vitória;193.7;13;10;0;11;4;1
2013;Bituruna;41006_6ª RS União da Vitória;29.2;0;0;0;22;0;1
2014;Bituruna;41006_6ª RS União da Vitória;40.7;0;0;1;19;3;0
2015;Bituruna;41006_6ª RS União da Vitória;46.1;1;0;1;23;11;3
2016;Bituruna;41006_6ª RS União da Vitória;59.1;0;0;2;22;15;2
2017;Bituruna;41006_6ª RS União da Vitória;60.4;2;0;2;18;15;2
2013;Cruz Machado;41006_6ª RS União da Vitória;38.2;1;1;1;16;3;2
2014;Cruz Machado;41006_6ª RS União da Vitória;53;12;1;0;19;8;5
2015;Cruz Machado;41006_6ª RS União da Vitória;59.9;1;1;1;31;1;5
2016;Cruz Machado;41006_6ª RS União da Vitória;66.2;1;1;0;19;0;3
2017;Cruz Machado;41006_6ª RS União da Vitória;59;2;2;0;20;3;2
2013;General Carneiro;41006_6ª RS União da Vitória;7.8;1;1;0;11;0;3
2014;General Carneiro;41006_6ª RS União da Vitória;11.7;1;1;1;11;2;0
2015;General Carneiro;41006_6ª RS União da Vitória;14.7;1;0;3;15;2;1
2016;General Carneiro;41006_6ª RS União da Vitória;14.6;0;0;1;26;3;0
2017;General Carneiro;41006_6ª RS União da Vitória;21.5;1;1;0;19;3;0
2013;Paula Freitas;41006_6ª RS União da Vitória;87.7;1;0;0;8;1;1
2014;Paula Freitas;41006_6ª RS União da Vitória;99.8;0;0;0;11;0;0
2015;Paula Freitas;41006_6ª RS União da Vitória;101.6;4;3;0;5;2;0
2016;Paula Freitas;41006_6ª RS União da Vitória;157.3;1;0;0;13;7;1
2017;Paula Freitas;41006_6ª RS União da Vitória;120.3;2;2;1;11;8;1
2013;Paulo Frontin;41006_6ª RS União da Vitória;163.6;16;15;0;20;0;2
2014;Paulo Frontin;41006_6ª RS União da Vitória;198;11;10;1;12;0;0
2015;Paulo Frontin;41006_6ª RS União da Vitória;134;14;6;1;18;0;0
2016;Paulo Frontin;41006_6ª RS União da Vitória;192.7;5;3;0;10;3;0
2017;Paulo Frontin;41006_6ª RS União da Vitória;164.4;8;3;0;18;2;0
2013;Porto Vitória;41006_6ª RS União da Vitória;4.6;0;0;0;5;1;0
2014;Porto Vitória;41006_6ª RS União da Vitória;6.6;1;0;0;5;0;0
2015;Porto Vitória;41006_6ª RS União da Vitória;9.8;0;0;0;4;3;0
2016;Porto Vitória;41006_6ª RS União da Vitória;11;0;0;0;5;3;1
2017;Porto Vitória;41006_6ª RS União da Vitória;9.2;0;0;0;3;0;0
2013;São Mateus do Sul;41006_6ª RS União da Vitória;477.1;2;0;2;44;0;1
2014;São Mateus do Sul;41006_6ª RS União da Vitória;572.6;8;4;1;56;5;3
2015;São Mateus do Sul;41006_6ª RS União da Vitória;536.8;2;1;1;58;11;2
2016;São Mateus do Sul;41006_6ª RS União da Vitória;657.7;3;1;1;58;7;4
2017;São Mateus do Sul;41006_6ª RS União da Vitória;550.5;1;1;3;77;29;7
2013;União da Vitória;41006_6ª RS União da Vitória;15.5;1;0;2;82;1;1
2014;União da Vitória;41006_6ª RS União da Vitória;22.1;1;0;5;69;11;9
2015;União da Vitória;41006_6ª RS União da Vitória;21;0;0;3;87;11;4
2016;União da Vitória;41006_6ª RS União da Vitória;28.4;2;2;4;83;8;9
2017;União da Vitória;41006_6ª RS União da Vitória;25.5;3;1;2;92;58;7
2013;Bom Sucesso do Sul;41007_7ª RS Pato Branco;273.3;0;0;0;4;1;0
2014;Bom Sucesso do Sul;41007_7ª RS Pato Branco;255.1;0;0;0;6;2;0
2015;Bom Sucesso do Sul;41007_7ª RS Pato Branco;233;0;0;0;7;2;0
2016;Bom Sucesso do Sul;41007_7ª RS Pato Branco;207.8;0;0;0;4;2;0
2017;Bom Sucesso do Sul;41007_7ª RS Pato Branco;279;0;0;0;7;7;1
2013;Chopinzinho;41007_7ª RS Pato Branco;327.7;4;4;0;20;0;1
2014;Chopinzinho;41007_7ª RS Pato Branco;373.2;5;3;0;26;3;4
2015;Chopinzinho;41007_7ª RS Pato Branco;413.1;2;1;2;41;15;1
2016;Chopinzinho;41007_7ª RS Pato Branco;400.3;2;1;4;32;21;3
2017;Chopinzinho;41007_7ª RS Pato Branco;406.7;2;2;1;33;47;2
2013;Clevelândia;41007_7ª RS Pato Branco;345.4;1;1;3;24;1;2
2014;Clevelândia;41007_7ª RS Pato Branco;380.6;1;0;2;23;2;2
2015;Clevelândia;41007_7ª RS Pato Branco;360.2;1;1;1;21;3;1
2016;Clevelândia;41007_7ª RS Pato Branco;363.2;0;0;1;28;6;2
2017;Clevelândia;41007_7ª RS Pato Branco;331;0;0;1;24;0;1
2013;Coronel Domingos Soares;41007_7ª RS Pato Branco;171.4;5;4;0;4;4;0
2014;Coronel Domingos Soares;41007_7ª RS Pato Branco;165.4;6;4;3;6;2;1
2015;Coronel Domingos Soares;41007_7ª RS Pato Branco;193.2;7;7;2;3;1;0
2016;Coronel Domingos Soares;41007_7ª RS Pato Branco;187;4;2;1;4;2;1
2017;Coronel Domingos Soares;41007_7ª RS Pato Branco;177;5;2;0;3;0;0
2013;Coronel Vivida;41007_7ª RS Pato Branco;477.2;4;0;2;25;26;1
2014;Coronel Vivida;41007_7ª RS Pato Branco;518.5;5;0;0;32;32;4
2015;Coronel Vivida;41007_7ª RS Pato Branco;526.3;13;4;1;40;33;1
2016;Coronel Vivida;41007_7ª RS Pato Branco;510.1;7;4;1;42;34;2
2017;Coronel Vivida;41007_7ª RS Pato Branco;530.2;15;4;1;32;33;0
2013;Honório Serpa;41007_7ª RS Pato Branco;265.2;0;0;0;5;1;0
2014;Honório Serpa;41007_7ª RS Pato Branco;271.9;1;1;1;7;0;0
2015;Honório Serpa;41007_7ª RS Pato Branco;291.5;2;2;1;6;1;1
2016;Honório Serpa;41007_7ª RS Pato Branco;295;5;3;0;6;6;0
2017;Honório Serpa;41007_7ª RS Pato Branco;278.6;5;3;1;3;8;0
2013;Itapejara d'Oeste;41007_7ª RS Pato Branco;228.3;0;0;1;17;0;2
2014;Itapejara d'Oeste;41007_7ª RS Pato Branco;238.3;2;0;0;14;3;6
2015;Itapejara d'Oeste;41007_7ª RS Pato Branco;249.3;1;1;0;17;0;2
2016;Itapejara d'Oeste;41007_7ª RS Pato Branco;272.4;3;1;0;20;14;2
2017;Itapejara d'Oeste;41007_7ª RS Pato Branco;275.7;5;1;0;23;41;1
2013;Mangueirinha;41007_7ª RS Pato Branco;583.2;5;3;1;22;5;0
2014;Mangueirinha;41007_7ª RS Pato Branco;619.9;7;7;4;18;8;0
2015;Mangueirinha;41007_7ª RS Pato Branco;621.6;1;0;2;15;5;1
2016;Mangueirinha;41007_7ª RS Pato Branco;578.3;0;0;1;23;0;0
2017;Mangueirinha;41007_7ª RS Pato Branco;517.5;1;1;1;21;7;1
2013;Mariópolis;41007_7ª RS Pato Branco;147.4;0;0;0;13;2;0
2014;Mariópolis;41007_7ª RS Pato Branco;171.4;1;1;1;6;6;0
2015;Mariópolis;41007_7ª RS Pato Branco;178.1;0;0;1;12;15;0
2016;Mariópolis;41007_7ª RS Pato Branco;167.4;3;0;0;17;9;0
2017;Mariópolis;41007_7ª RS Pato Branco;146;5;4;1;8;6;1
2013;Palmas;41007_7ª RS Pato Branco;347.7;4;0;5;48;7;3
2014;Palmas;41007_7ª RS Pato Branco;383.6;2;1;1;52;11;1
2015;Palmas;41007_7ª RS Pato Branco;436.8;7;1;6;47;5;3
2016;Palmas;41007_7ª RS Pato Branco;498.4;24;0;6;55;29;7
2017;Palmas;41007_7ª RS Pato Branco;541.4;0;0;3;46;5;4
2013;Pato Branco;41007_7ª RS Pato Branco;578;15;7;3;95;25;5
2014;Pato Branco;41007_7ª RS Pato Branco;551.4;13;2;4;95;51;5
2015;Pato Branco;41007_7ª RS Pato Branco;601;4;3;1;102;56;8
2016;Pato Branco;41007_7ª RS Pato Branco;455.8;1;1;4;114;62;9
2017;Pato Branco;41007_7ª RS Pato Branco;492.3;3;0;4;97;107;12
2013;São João;41007_7ª RS Pato Branco;366.5;3;2;0;18;0;0
2014;São João;41007_7ª RS Pato Branco;336.7;1;1;0;19;3;2
2015;São João;41007_7ª RS Pato Branco;419.7;4;1;1;19;1;2
2016;São João;41007_7ª RS Pato Branco;371.7;0;0;0;23;15;2
2017;São João;41007_7ª RS Pato Branco;361.6;4;1;0;29;9;0
2013;Saudade do Iguaçu;41007_7ª RS Pato Branco;29.4;1;1;1;8;2;0
2014;Saudade do Iguaçu;41007_7ª RS Pato Branco;36.9;0;0;0;7;1;1
2015;Saudade do Iguaçu;41007_7ª RS Pato Branco;43.1;0;0;0;7;3;0
2016;Saudade do Iguaçu;41007_7ª RS Pato Branco;53.3;0;0;2;7;2;0
2017;Saudade do Iguaçu;41007_7ª RS Pato Branco;56.3;0;0;1;8;4;0
2013;Sulina;41007_7ª RS Pato Branco;65.2;1;0;1;9;0;2
2014;Sulina;41007_7ª RS Pato Branco;72.9;1;0;0;3;0;2
2015;Sulina;41007_7ª RS Pato Branco;94.3;0;0;0;6;3;0
2016;Sulina;41007_7ª RS Pato Branco;80.9;0;0;0;1;1;0
2017;Sulina;41007_7ª RS Pato Branco;78.5;0;0;0;8;1;0
2013;Vitorino;41007_7ª RS Pato Branco;226.7;1;1;0;7;4;1
2014;Vitorino;41007_7ª RS Pato Branco;281.4;1;1;0;4;5;3
2015;Vitorino;41007_7ª RS Pato Branco;280.5;0;0;1;8;5;1
2016;Vitorino;41007_7ª RS Pato Branco;286.3;0;0;0;10;1;0
2017;Vitorino;41007_7ª RS Pato Branco;256.2;0;0;0;16;7;0
2013;Ampére;41008_8ª RS Francisco Beltrão;110.1;1;1;0;22;0;3
2014;Ampére;41008_8ª RS Francisco Beltrão;118;0;0;1;22;0;2
2015;Ampére;41008_8ª RS Francisco Beltrão;126.1;0;0;3;31;0;0
2016;Ampére;41008_8ª RS Francisco Beltrão;127.8;1;0;1;18;0;0
2017;Ampére;41008_8ª RS Francisco Beltrão;129.1;2;0;1;14;5;3
2013;Barracão;41008_8ª RS Francisco Beltrão;18.6;0;0;1;6;1;2
2014;Barracão;41008_8ª RS Francisco Beltrão;21;0;0;0;9;0;1
2015;Barracão;41008_8ª RS Francisco Beltrão;21.4;1;0;1;12;2;2
2016;Barracão;41008_8ª RS Francisco Beltrão;25.7;0;0;1;10;4;0
2017;Barracão;41008_8ª RS Francisco Beltrão;27.3;1;0;1;14;3;0
2013;Bela Vista da Caroba;41008_8ª RS Francisco Beltrão;44.5;1;1;0;5;0;0
2014;Bela Vista da Caroba;41008_8ª RS Francisco Beltrão;46;3;3;0;4;1;0
2015;Bela Vista da Caroba;41008_8ª RS Francisco Beltrão;53;1;1;0;8;1;0
2016;Bela Vista da Caroba;41008_8ª RS Francisco Beltrão;53.7;2;2;0;2;0;0
2017;Bela Vista da Caroba;41008_8ª RS Francisco Beltrão;60.3;1;1;0;5;2;1
2013;Boa Esperança do Iguaçu;41008_8ª RS Francisco Beltrão;51.2;1;1;0;2;0;0
2014;Boa Esperança do Iguaçu;41008_8ª RS Francisco Beltrão;72.2;0;0;0;5;0;0
2015;Boa Esperança do Iguaçu;41008_8ª RS Francisco Beltrão;83.8;0;0;0;3;0;0
2016;Boa Esperança do Iguaçu;41008_8ª RS Francisco Beltrão;83.1;1;0;0;5;1;0
2017;Boa Esperança do Iguaçu;41008_8ª RS Francisco Beltrão;89.3;2;1;0;3;1;0
2013;Bom Jesus do Sul;41008_8ª RS Francisco Beltrão;17.2;0;0;0;8;0;1
2014;Bom Jesus do Sul;41008_8ª RS Francisco Beltrão;17.4;0;0;1;2;0;0
2015;Bom Jesus do Sul;41008_8ª RS Francisco Beltrão;21.4;1;1;0;9;0;0
2016;Bom Jesus do Sul;41008_8ª RS Francisco Beltrão;23.6;5;4;0;7;0;0
2017;Bom Jesus do Sul;41008_8ª RS Francisco Beltrão;23.5;8;6;0;2;0;0
2013;Capanema;41008_8ª RS Francisco Beltrão;238.8;0;0;2;34;1;4
2014;Capanema;41008_8ª RS Francisco Beltrão;259;0;0;0;35;0;5
2015;Capanema;41008_8ª RS Francisco Beltrão;281.8;0;0;0;23;1;2
2016;Capanema;41008_8ª RS Francisco Beltrão;252.9;0;0;0;21;1;2
2017;Capanema;41008_8ª RS Francisco Beltrão;249.2;4;0;0;34;1;3
2013;Cruzeiro do Iguaçu;41008_8ª RS Francisco Beltrão;73.9;1;0;0;4;0;0
2014;Cruzeiro do Iguaçu;41008_8ª RS Francisco Beltrão;82.8;0;0;0;2;1;1
2015;Cruzeiro do Iguaçu;41008_8ª RS Francisco Beltrão;112.5;0;0;0;7;1;2
2016;Cruzeiro do Iguaçu;41008_8ª RS Francisco Beltrão;88.4;0;0;0;4;0;0
2017;Cruzeiro do Iguaçu;41008_8ª RS Francisco Beltrão;89.7;0;0;1;1;1;0
2013;Dois Vizinhos;41008_8ª RS Francisco Beltrão;263.6;1;1;8;38;0;4
2014;Dois Vizinhos;41008_8ª RS Francisco Beltrão;285.9;2;1;1;49;2;4
2015;Dois Vizinhos;41008_8ª RS Francisco Beltrão;371.7;4;0;1;26;1;6
2016;Dois Vizinhos;41008_8ª RS Francisco Beltrão;315.4;1;0;1;29;18;4
2017;Dois Vizinhos;41008_8ª RS Francisco Beltrão;349.6;2;0;4;52;12;4
2013;Enéas Marques;41008_8ª RS Francisco Beltrão;38;0;0;1;9;0;1
2014;Enéas Marques;41008_8ª RS Francisco Beltrão;44.7;1;1;1;10;0;1
2015;Enéas Marques;41008_8ª RS Francisco Beltrão;51.3;1;1;1;13;1;0
2016;Enéas Marques;41008_8ª RS Francisco Beltrão;52.3;0;0;0;12;1;1
2017;Enéas Marques;41008_8ª RS Francisco Beltrão;49.3;0;0;0;8;1;0
2013;Flor da Serra do Sul;41008_8ª RS Francisco Beltrão;67.2;0;0;0;7;0;0
2014;Flor da Serra do Sul;41008_8ª RS Francisco Beltrão;65.9;1;1;0;3;0;0
2015;Flor da Serra do Sul;41008_8ª RS Francisco Beltrão;64.6;0;0;0;8;0;0
2016;Flor da Serra do Sul;41008_8ª RS Francisco Beltrão;78.9;1;1;0;3;3;1
2017;Flor da Serra do Sul;41008_8ª RS Francisco Beltrão;74.3;4;4;0;10;12;0
2013;Francisco Beltrão;41008_8ª RS Francisco Beltrão;326.9;4;0;6;98;1;8
2014;Francisco Beltrão;41008_8ª RS Francisco Beltrão;267.2;7;1;1;99;4;9
2015;Francisco Beltrão;41008_8ª RS Francisco Beltrão;281.1;5;2;4;105;5;11
2016;Francisco Beltrão;41008_8ª RS Francisco Beltrão;302.7;11;3;1;87;22;14
2017;Francisco Beltrão;41008_8ª RS Francisco Beltrão;314.5;6;3;5;101;87;15
2013;Manfrinópolis;41008_8ª RS Francisco Beltrão;11.8;0;0;0;4;0;0
2014;Manfrinópolis;41008_8ª RS Francisco Beltrão;13.9;0;0;0;5;0;0
2015;Manfrinópolis;41008_8ª RS Francisco Beltrão;14.2;6;4;0;1;0;0
2016;Manfrinópolis;41008_8ª RS Francisco Beltrão;13.8;0;0;1;5;0;0
2017;Manfrinópolis;41008_8ª RS Francisco Beltrão;11.2;0;0;0;6;1;1
2013;Marmeleiro;41008_8ª RS Francisco Beltrão;193.4;2;2;0;13;0;1
2014;Marmeleiro;41008_8ª RS Francisco Beltrão;152.4;3;0;2;24;3;4
2015;Marmeleiro;41008_8ª RS Francisco Beltrão;161.5;4;3;0;16;5;3
2016;Marmeleiro;41008_8ª RS Francisco Beltrão;156.9;4;1;0;14;9;2
2017;Marmeleiro;41008_8ª RS Francisco Beltrão;153.8;2;1;3;20;18;1
2013;Nova Esperança do Sudoeste;41008_8ª RS Francisco Beltrão;33.3;0;0;0;4;0;0
2014;Nova Esperança do Sudoeste;41008_8ª RS Francisco Beltrão;34.6;0;0;0;5;0;0
2015;Nova Esperança do Sudoeste;41008_8ª RS Francisco Beltrão;36.5;0;0;0;15;0;1
2016;Nova Esperança do Sudoeste;41008_8ª RS Francisco Beltrão;31.4;0;0;0;7;0;0
2017;Nova Esperança do Sudoeste;41008_8ª RS Francisco Beltrão;35;0;0;0;8;1;0
2013;Nova Prata do Iguaçu;41008_8ª RS Francisco Beltrão;175;0;0;0;13;0;0
2014;Nova Prata do Iguaçu;41008_8ª RS Francisco Beltrão;199.8;0;0;0;20;0;0
2015;Nova Prata do Iguaçu;41008_8ª RS Francisco Beltrão;227.1;0;0;1;15;0;2
2016;Nova Prata do Iguaçu;41008_8ª RS Francisco Beltrão;223.8;0;1;1;15;2;0
2017;Nova Prata do Iguaçu;41008_8ª RS Francisco Beltrão;233.7;0;2;0;15;3;2
2013;Pérola d'Oeste;41008_8ª RS Francisco Beltrão;129.4;0;0;0;8;1;1
2014;Pérola d'Oeste;41008_8ª RS Francisco Beltrão;135.6;0;0;0;6;0;0
2015;Pérola d'Oeste;41008_8ª RS Francisco Beltrão;155.7;0;0;1;8;0;1
2016;Pérola d'Oeste;41008_8ª RS Francisco Beltrão;136;1;0;0;12;0;2
2017;Pérola d'Oeste;41008_8ª RS Francisco Beltrão;168.2;3;0;0;15;1;1
2013;Pinhal de São Bento;41008_8ª RS Francisco Beltrão;32.5;1;0;1;2;0;0
2014;Pinhal de São Bento;41008_8ª RS Francisco Beltrão;42.7;1;0;0;1;0;0
2015;Pinhal de São Bento;41008_8ª RS Francisco Beltrão;38.3;1;0;0;6;2;1
2016;Pinhal de São Bento;41008_8ª RS Francisco Beltrão;32.6;1;1;2;6;0;2
2017;Pinhal de São Bento;41008_8ª RS Francisco Beltrão;30.3;1;0;0;6;1;0
2013;Planalto;41008_8ª RS Francisco Beltrão;183.1;0;0;1;18;0;0
2014;Planalto;41008_8ª RS Francisco Beltrão;231.4;0;0;0;21;0;3
2015;Planalto;41008_8ª RS Francisco Beltrão;197.2;0;0;1;18;2;2
2016;Planalto;41008_8ª RS Francisco Beltrão;197.2;2;1;1;29;2;2
2017;Planalto;41008_8ª RS Francisco Beltrão;204.1;1;1;2;31;4;3
2013;Pranchita;41008_8ª RS Francisco Beltrão;206.6;1;0;1;11;0;0
2014;Pranchita;41008_8ª RS Francisco Beltrão;229.3;1;1;0;12;0;1
2015;Pranchita;41008_8ª RS Francisco Beltrão;228.7;1;1;0;8;0;1
2016;Pranchita;41008_8ª RS Francisco Beltrão;229.2;1;0;2;10;2;1
2017;Pranchita;41008_8ª RS Francisco Beltrão;218.1;0;0;0;13;0;1
2013;Realeza;41008_8ª RS Francisco Beltrão;381.3;0;0;3;22;0;6
2014;Realeza;41008_8ª RS Francisco Beltrão;399.2;0;0;0;34;0;4
2015;Realeza;41008_8ª RS Francisco Beltrão;461.4;0;0;1;28;0;1
2016;Realeza;41008_8ª RS Francisco Beltrão;242.5;1;0;0;28;1;0
2017;Realeza;41008_8ª RS Francisco Beltrão;253.9;1;1;1;27;13;2
2013;Renascença;41008_8ª RS Francisco Beltrão;280.5;1;0;1;11;0;0
2014;Renascença;41008_8ª RS Francisco Beltrão;354.6;0;0;2;8;2;2
2015;Renascença;41008_8ª RS Francisco Beltrão;360.2;1;0;1;4;3;0
2016;Renascença;41008_8ª RS Francisco Beltrão;358.4;1;0;0;6;7;3
2017;Renascença;41008_8ª RS Francisco Beltrão;351.2;1;0;1;9;3;2
2013;Salgado Filho;41008_8ª RS Francisco Beltrão;25.1;1;1;0;5;0;0
2014;Salgado Filho;41008_8ª RS Francisco Beltrão;29;2;2;0;6;0;0
2015;Salgado Filho;41008_8ª RS Francisco Beltrão;27.5;1;1;0;7;1;1
2016;Salgado Filho;41008_8ª RS Francisco Beltrão;29.4;0;0;0;7;2;1
2017;Salgado Filho;41008_8ª RS Francisco Beltrão;27.1;1;0;0;5;9;1
2013;Salto do Lontra;41008_8ª RS Francisco Beltrão;128.7;0;0;1;14;0;1
2014;Salto do Lontra;41008_8ª RS Francisco Beltrão;161.2;0;0;0;21;1;1
2015;Salto do Lontra;41008_8ª RS Francisco Beltrão;250;1;0;0;20;0;5
2016;Salto do Lontra;41008_8ª RS Francisco Beltrão;161.9;10;2;0;22;1;2
2017;Salto do Lontra;41008_8ª RS Francisco Beltrão;169.6;0;0;1;23;2;0
2013;Santa Izabel do Oeste;41008_8ª RS Francisco Beltrão;419.9;5;3;0;19;0;1
2014;Santa Izabel do Oeste;41008_8ª RS Francisco Beltrão;598.9;1;0;0;14;0;2
2015;Santa Izabel do Oeste;41008_8ª RS Francisco Beltrão;552.5;4;2;0;20;8;3
2016;Santa Izabel do Oeste;41008_8ª RS Francisco Beltrão;256.6;5;3;0;16;1;1
2017;Santa Izabel do Oeste;41008_8ª RS Francisco Beltrão;279.1;4;2;0;18;11;2
2013;Santo Antônio do Sudoeste;41008_8ª RS Francisco Beltrão;160.6;0;0;0;26;0;1
2014;Santo Antônio do Sudoeste;41008_8ª RS Francisco Beltrão;155.8;0;0;1;16;0;2
2015;Santo Antônio do Sudoeste;41008_8ª RS Francisco Beltrão;168.4;0;0;1;38;1;0
2016;Santo Antônio do Sudoeste;41008_8ª RS Francisco Beltrão;163.9;1;1;2;30;6;4
2017;Santo Antônio do Sudoeste;41008_8ª RS Francisco Beltrão;170.9;1;1;1;33;4;4
2013;São Jorge d'Oeste;41008_8ª RS Francisco Beltrão;294.4;0;0;0;18;0;0
2014;São Jorge d'Oeste;41008_8ª RS Francisco Beltrão;389.9;0;0;0;11;1;1
2015;São Jorge d'Oeste;41008_8ª RS Francisco Beltrão;399.5;0;0;1;13;2;2
2016;São Jorge d'Oeste;41008_8ª RS Francisco Beltrão;204.9;1;0;0;10;0;0
2017;São Jorge d'Oeste;41008_8ª RS Francisco Beltrão;429;1;1;1;11;0;1
2013;Verê;41008_8ª RS Francisco Beltrão;259.2;0;0;0;13;0;1
2014;Verê;41008_8ª RS Francisco Beltrão;295;0;0;0;9;0;1
2015;Verê;41008_8ª RS Francisco Beltrão;388.1;3;2;0;11;1;0
2016;Verê;41008_8ª RS Francisco Beltrão;314.3;2;0;1;12;4;1
2017;Verê;41008_8ª RS Francisco Beltrão;323.9;1;1;0;14;7;2
2013;Foz do Iguaçu;41009_9ª RS Foz do Iguaçu;120.2;16;3;23;290;47;9
2014;Foz do Iguaçu;41009_9ª RS Foz do Iguaçu;85.1;21;4;16;287;124;15
2015;Foz do Iguaçu;41009_9ª RS Foz do Iguaçu;107.9;20;8;21;309;167;13
2016;Foz do Iguaçu;41009_9ª RS Foz do Iguaçu;130.2;12;0;10;287;169;15
2017;Foz do Iguaçu;41009_9ª RS Foz do Iguaçu;142.1;23;3;16;312;215;18
2013;Itaipulândia;41009_9ª RS Foz do Iguaçu;172.2;0;0;0;18;8;0
2014;Itaipulândia;41009_9ª RS Foz do Iguaçu;125;0;0;0;17;12;2
2015;Itaipulândia;41009_9ª RS Foz do Iguaçu;131.8;1;1;0;7;8;2
2016;Itaipulândia;41009_9ª RS Foz do Iguaçu;161.6;3;1;0;14;10;0
2017;Itaipulândia;41009_9ª RS Foz do Iguaçu;197.8;0;0;2;13;11;1
2013;Matelândia;41009_9ª RS Foz do Iguaçu;181.2;3;0;1;16;7;1
2014;Matelândia;41009_9ª RS Foz do Iguaçu;187.9;3;1;0;26;2;0
2015;Matelândia;41009_9ª RS Foz do Iguaçu;184.2;8;2;1;25;15;1
